"DG(18:2(9Z,12Z)/22:5(7Z,10Z,13Z,16Z,19Z)/0:0)[iso2]",C43H70O5
"DG(18:1(9Z)/22:6(4Z,7Z,10Z,13Z,16Z,19Z)/0:0)[iso2]",C43H70O5
"DG(20:5(5Z,8Z,11Z,14Z,17Z)/20:5(5Z,8Z,11Z,14Z,17Z)/0:0)",C43H64O5
"DG(20:4(5Z,8Z,11Z,14Z)/21:0/0:0)[iso2]",C44H78O5
"DG(20:3(8Z,11Z,14Z)/22:0/0:0)[iso2]",C45H82O5
"DG(20:2(11Z,14Z)/22:1(13Z)/0:0)[iso2]",C45H82O5
"DG(20:1(11Z)/22:3(10Z,13Z,16Z)/0:0)[iso2]",C45H80O5
"DG(20:0/22:2(13Z,16Z)/0:0)[iso2]",C45H84O5
"DG(19:0/22:4(7Z,10Z,13Z,16Z)/0:0)[iso2]",C44H78O5
"DG(18:3(9Z,12Z,15Z)/22:5(7Z,10Z,13Z,16Z,19Z)/0:0)[iso2]",C43H68O5
"DG(18:2(9Z,12Z)/22:6(4Z,7Z,10Z,13Z,16Z,19Z)/0:0)[iso2]",C43H68O5
"DG(20:5(5Z,8Z,11Z,14Z,17Z)/21:0/0:0)[iso2]",C44H76O5
"DG(20:4(5Z,8Z,11Z,14Z)/22:0/0:0)[iso2]",C45H80O5
"DG(20:3(8Z,11Z,14Z)/22:1(13Z)/0:0)[iso2]",C45H80O5
"DG(20:2(11Z,14Z)/22:3(10Z,13Z,16Z)/0:0)[iso2]",C45H78O5
"DG(20:1(11Z)/22:2(13Z,16Z)/0:0)[iso2]",C45H82O5
"DG(20:0/22:4(7Z,10Z,13Z,16Z)/0:0)[iso2]",C45H80O5
"DG(19:0/22:5(7Z,10Z,13Z,16Z,19Z)/0:0)[iso2]",C44H76O5
"DG(18:3(9Z,12Z,15Z)/22:6(4Z,7Z,10Z,13Z,16Z,19Z)/0:0)[iso2]",C43H66O5
DG(21:0/21:0/0:0),C45H88O5
"DG(20:5(5Z,8Z,11Z,14Z,17Z)/22:0/0:0)[iso2]",C45H78O5
"DG(20:4(5Z,8Z,11Z,14Z)/22:1(13Z)/0:0)[iso2]",C45H78O5
"DG(20:3(8Z,11Z,14Z)/22:3(10Z,13Z,16Z)/0:0)[iso2]",C45H76O5
"DG(20:2(11Z,14Z)/22:2(13Z,16Z)/0:0)[iso2]",C45H80O5
"DG(20:1(11Z)/22:4(7Z,10Z,13Z,16Z)/0:0)[iso2]",C45H78O5
"DG(20:0/22:5(7Z,10Z,13Z,16Z,19Z)/0:0)[iso2]",C45H78O5
"DG(19:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z)/0:0)[iso2]",C44H74O5
DG(21:0/22:0/0:0)[iso2],C46H90O5
"DG(20:5(5Z,8Z,11Z,14Z,17Z)/22:1(13Z)/0:0)[iso2]",C45H76O5
"DG(20:4(5Z,8Z,11Z,14Z)/22:3(10Z,13Z,16Z)/0:0)[iso2]",C45H74O5
"DG(20:3(8Z,11Z,14Z)/22:2(13Z,16Z)/0:0)[iso2]",C45H78O5
"DG(20:2(11Z,14Z)/22:4(7Z,10Z,13Z,16Z)/0:0)[iso2]",C45H76O5
"DG(20:1(11Z)/22:5(7Z,10Z,13Z,16Z,19Z)/0:0)[iso2]",C45H76O5
"DG(20:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z)/0:0)[iso2]",C45H76O5
DG(22:0/22:0/0:0),C47H92O5
DG(21:0/22:1(13Z)/0:0)[iso2],C46H88O5
"DG(20:5(5Z,8Z,11Z,14Z,17Z)/22:3(10Z,13Z,16Z)/0:0)[iso2]",C45H72O5
"DG(20:4(5Z,8Z,11Z,14Z)/22:2(13Z,16Z)/0:0)[iso2]",C45H76O5
"DG(20:3(8Z,11Z,14Z)/22:4(7Z,10Z,13Z,16Z)/0:0)[iso2]",C45H74O5
"DG(20:2(11Z,14Z)/22:5(7Z,10Z,13Z,16Z,19Z)/0:0)[iso2]",C45H74O5
