"PE-Cer(d14:1(4E)/25:0)","C41H83N2O6P"
"TG(O-18:2_15:0_22:4)","C58H102O5"
"TG(O-18:2_16:1_22:5)","C59H100O5"
"TG(O-18:2_16:2_16:2)","C53H92O5"
"TG(O-18:2_18:0_20:3)","C59H106O5"
"TG(O-18:2_18:1_20:5)","C59H100O5"
"TG(O-18:2_18:1_22:6)","C61H102O5"
"TG(O-18:2_18:2_20:1)","C59H106O5"
"TG(O-18:2_20:0_22:1)","C63H118O5"
"TG(O-18:2_20:0_24:5)","C65H114O5"
"TG(O-18:2_20:4_21:0)","C62H110O5"
"TG(O-18:2_20:5_24:6)","C65H102O5"
"TG(O-18:2_24:1_28:0)","C73H138O5"
"TG(O-20:0_12:0_20:4)","C55H100O5"
"TG(O-20:0_13:0_18:3)","C54H100O5"
"TG(O-20:0_13:0_30:0)","C66H130O5"
"TG(O-20:0_15:0_24:6)","C62H110O5"
"TG(O-20:0_16:0_26:0)","C65H128O5"
"TG(O-20:0_16:1_20:0)","C59H114O5"
"TG(O-20:0_16:2_20:0)","C59H112O5"
"TG(O-20:0_16:2_21:0)","C60H114O5"
"TG(O-20:0_18:4_22:5)","C63H106O5"
"TG(O-20:0_20:1_20:1)","C63H120O5"
"TG(O-20:0_20:4_20:4)","C63H108O5"
"TG(O-20:0_20:4_22:0)","C65H120O5"
"TG(O-20:0_20:4_28:0)","C71H132O5"
"TG(O-20:0_21:0_24:6)","C68H122O5"
"TG(O-20:0_22:0_24:5)","C69H126O5"
"TG(O-20:0_22:4_28:0)","C73H136O5"
"TG(O-20:0_22:5_24:0)","C69H126O5"
"TG(O-20:0_22:5_24:4)","C69H118O5"
"TG(O-20:1_12:0_22:2)","C57H106O5"
"TG(O-20:1_16:0_18:1)","C57H108O5"
"TG(O-20:1_16:1_24:0)","C63H120O5"
"TG(O-20:1_16:1_24:4)","C63H112O5"
"TG(O-20:1_18:2_24:6)","C65H110O5"
"TG(O-20:1_19:0_26:0)","C68H132O5"
"TG(O-20:1_20:1_24:4)","C67H120O5"
"TG(O-20:1_20:2_22:6)","C65H110O5"
"TG(O-20:1_20:3_22:0)","C65H120O5"
"TG(O-20:1_20:3_26:1)","C69H126O5"
"TG(O-20:1_20:4_20:4)","C63H106O5"
"TG(O-20:1_22:0_22:4)","C67H122O5"
"TG(O-22:0_12:0_18:3)","C55H102O5"
"TG(O-22:0_12:0_22:2)","C59H112O5"
"TG(O-22:0_14:0_18:0)","C57H112O5"
"TG(O-22:0_14:0_22:4)","C61H112O5"
"TG(O-22:0_15:0_18:0)","C58H114O5"
"TG(O-22:0_16:1_24:5)","C65H116O5"
"TG(O-22:0_17:0_20:1)","C62H120O5"
"TG(O-22:0_17:0_22:4)","C64H118O5"
"TG(O-22:0_18:2_22:1)","C65H122O5"
"TG(O-22:0_20:0_22:4)","C67H124O5"
"TG(O-22:0_20:1_30:0)","C75H146O5"
"TG(O-22:0_20:2_22:1)","C67H126O5"
"TG(O-22:0_20:5_24:4)","C69H118O5"
"TG(O-22:0_21:0_22:3)","C68H128O5"
"TG(O-22:0_21:0_30:0)","C76H150O5"
"TG(O-22:0_22:1_22:2)","C69H130O5"
"TG(O-22:0_22:5_26:0)","C73H134O5"
"TG(O-22:0_24:4_28:0)","C77H144O5"
"TG(O-22:1_14:0_30:0)","C69H134O5"
"TG(O-22:1_15:0_16:0)","C56H108O5"
"TG(O-22:1_15:0_26:1)","C66H126O5"
"TG(O-22:1_16:0_22:1)","C63H120O5"
"TG(O-22:1_17:0_20:2)","C62H116O5"
"TG(O-22:1_18:0_18:0)","C61H118O5"
"TG(O-22:1_18:1_18:4)","C61H108O5"
"TG(O-22:1_18:3_22:1)","C65H118O5"
"TG(O-22:1_20:1_22:4)","C67H120O5"
"TG(O-22:1_20:1_30:0)","C75H144O5"
"TG(O-22:1_22:1_30:0)","C77H148O5"
"TG(O-22:1_22:3_24:1)","C71H130O5"
"TG(O-22:1_24:0_30:0)","C79H154O5"
"TG(O-24:0_12:0_20:0)","C59H116O5"
"TG(O-24:0_14:1_19:0)","C60H116O5"
"TG(O-24:0_14:1_22:3)","C63H116O5"
"TG(O-24:0_15:0_18:0)","C60H118O5"
"TG(O-24:0_16:1_19:0)","C62H120O5"
"TG(O-24:0_16:2_20:1)","C63H118O5"
"TG(O-24:0_16:2_20:4)","C63H112O5"
"TG(O-24:0_18:0_22:3)","C67H126O5"
"TG(O-24:0_18:1_20:1)","C65H124O5"
"TG(O-24:0_18:1_22:4)","C67H122O5"
"TG(O-24:0_18:3_22:2)","C67H122O5"
"TG(O-24:0_18:3_24:5)","C69H120O5"
"TG(O-24:0_20:1_24:6)","C71H126O5"
"TG(O-24:0_22:0_24:0)","C73H144O5"
"TG(O-24:0_22:2_22:4)","C71H128O5"
"TG(O-26:0_12:0_13:0)","C54H106O5"
"TG(O-26:0_14:0_22:2)","C65H124O5"
"TG(O-26:0_14:0_22:5)","C65H118O5"
"TG(O-26:0_14:0_24:1)","C67H130O5"
"TG(O-26:0_16:2_20:0)","C65H124O5"
"TG(O-26:0_17:0_22:2)","C68H130O5"
"TG(O-26:0_18:0_24:5)","C71H130O5"
"TG(O-26:0_18:2_26:0)","C73H140O5"
"TG(O-26:0_19:0_28:0)","C76H150O5"
"TG(O-26:0_20:0_20:4)","C69H128O5"
"TG(O-26:0_20:0_26:0)","C75H148O5"
"TG(O-26:0_22:0_26:1)","C77H150O5"
"TG(O-26:0_22:1_24:6)","C75H134O5"
"TG(O-26:0_24:1_26:0)","C79H154O5"
"TG(O-28:0_12:0_15:0)","C58H114O5"
"TG(O-28:0_13:0_18:4)","C62H114O5"
"TG(O-28:0_14:1_20:1)","C65H124O5"
"TG(O-28:0_16:0_26:1)","C73H142O5"
"TG(O-28:0_18:1_21:0)","C70H136O5"
"TG(O-28:0_18:2_20:3)","C69H126O5"
"TG(O-28:0_20:4_26:1)","C77H142O5"
"TG(O-28:0_20:4_30:0)","C81H152O5"
"TG(O-28:0_22:2_28:0)","C81H156O5"
"TG(O-28:0_22:3_24:1)","C77H144O5"
"TG(O-28:0_24:0_24:5)","C79H146O5"
"TG(O-30:0_13:0_18:2)","C64H122O5"
"TG(O-30:0_14:1_18:1)","C65H124O5"
"TG(O-30:0_16:0_20:3)","C69H130O5"
"TG(O-30:0_16:0_22:5)","C71H130O5"
"TG(O-30:0_16:1_22:2)","C71H134O5"
"TG(O-30:0_16:2_22:1)","C71H134O5"
"TG(O-30:0_16:2_22:4)","C71H128O5"
"TG(O-30:0_16:2_24:0)","C73H140O5"
"TG(O-30:0_18:0_24:6)","C75H136O5"
"TG(O-30:0_18:2_26:1)","C77H146O5"
"TG(O-30:0_18:3_18:4)","C69H122O5"
"TG(O-30:0_18:3_20:3)","C71H128O5"
"TG(O-30:0_22:0_24:6)","C79H144O5"
"TG(O-30:0_22:3_30:0)","C85H162O5"
"TG(O-30:0_22:6_28:0)","C83H152O5"
"TG(O-30:0_24:5_30:0)","C87H162O5"
"MG(O-30:1)","C33H66O3"
"DG(O-13:0_14:0)","C30H60O4"
"DG(O-13:1_22:5)","C38H64O4"
"DG(O-14:0_18:3)","C35H64O4"
"DG(O-14:0_22:4)","C39H70O4"
"DG(O-14:1_16:2)","C33H60O4"
"DG(O-15:1_22:0)","C40H78O4"
"DG(O-16:1_28:0)","C47H92O4"
"DG(O-17:0_24:5)","C44H78O4"
"DG(O-17:0_24:6)","C44H76O4"
"DG(O-17:1_21:0)","C41H80O4"
"DG(O-18:0_20:0)","C41H82O4"
"DG(O-18:0_28:0)","C49H98O4"
"DG(O-18:1_28:0)","C49H96O4"
"DG(O-18:3_22:4)","C43H72O4"
"DG(O-20:1_22:3)","C45H82O4"
"DG(O-20:2_28:0)","C51H98O4"
"DG(O-22:0_20:3)","C45H84O4"
"DG(O-22:2_17:0)","C42H80O4"
"DG(O-26:1_26:0)","C55H108O4"
"DG(O-28:0_20:1)","C51H100O4"
"DG(O-28:1_22:1)","C53H102O4"
"DG(O-30:0_20:2)","C53H102O4"
"DG(O-30:1_20:4)","C53H96O4"
"DG(O-30:1_22:1)","C55H106O4"
"TG(12:0_14:0_26:1)","C55H104O6"
"TG(12:0_15:0_18:0)","C48H92O6"
"TG(12:0_16:0_18:4)","C49H86O6"
"TG(12:0_17:0_28:0)","C60H116O6"
"TG(12:0_18:0_22:1)","C55H104O6"
"TG(12:0_18:3_28:0)","C61H112O6"
"TG(12:0_20:1_20:5)","C55H94O6"
"TG(12:0_20:1_30:0)","C65H124O6"
"TG(12:0_20:2_22:3)","C57H100O6"
"TG(12:0_20:4_22:5)","C57H92O6"
"TG(12:0_22:1_22:5)","C59H102O6"
"TG(12:0_22:2_24:1)","C61H112O6"
"TG(12:0_22:4_22:5)","C59H96O6"
"TG(13:0_13:0_16:2)","C45H82O6"
"TG(13:0_14:1_24:4)","C54H94O6"
"TG(13:0_15:0_20:2)","C51H94O6"
"TG(13:0_16:0_18:2)","C50H92O6"
"TG(13:0_16:0_20:5)","C52H90O6"
"TG(13:0_16:2_30:0)","C62H116O6"
"TG(13:0_18:1_24:1)","C58H108O6"
"TG(13:0_19:0_20:4)","C55H98O6"
"TG(13:0_19:0_22:6)","C57H98O6"
"TG(13:0_20:0_22:6)","C58H100O6"
"TG(13:0_20:1_22:1)","C58H108O6"
"TG(13:0_22:2_30:0)","C68H128O6"
"TG(14:0_14:0_26:0)","C57H110O6"
"TG(14:0_14:1_18:0)","C49H92O6"
"TG(14:0_16:0_17:0)","C50H96O6"
"TG(14:0_16:0_24:5)","C57H100O6"
"TG(14:0_16:1_18:4)","C51H88O6"
"TG(14:0_16:1_20:5)","C53H90O6"
"TG(14:0_18:4_20:1)","C55H96O6"
"TG(14:0_20:4_22:4)","C59H98O6"
"TG(14:0_22:4_30:0)","C69H126O6"
"TG(14:0_22:6_24:1)","C63H108O6"
"TG(14:0_26:0_28:0)","C71H138O6"
"TG(14:1_14:1_24:6)","C55H90O6"
"TG(14:1_16:2_17:0)","C50H90O6"
"TG(14:1_16:2_21:0)","C54H98O6"
"TG(14:1_17:0_18:4)","C52H90O6"
"TG(14:1_18:3_18:3)","C53H88O6"
"TG(14:1_19:0_22:6)","C58H98O6"
"TG(14:1_20:0_28:0)","C65H124O6"
"TG(14:1_20:1_24:4)","C61H106O6"
"TG(14:1_20:2_22:0)","C59H108O6"
"TG(14:1_20:4_20:4)","C57H92O6"
"TG(14:1_20:5_22:5)","C59H92O6"
"TG(14:1_21:0_22:1)","C60H112O6"
"TG(14:1_22:3_26:1)","C65H116O6"
"TG(14:1_22:6_26:1)","C65H110O6"
"TG(14:1_24:4_24:4)","C65H108O6"
"TG(15:0_16:0_28:0)","C62H120O6"
"TG(15:0_16:1_20:3)","C54H96O6"
"TG(15:0_16:2_18:2)","C52H92O6"
"TG(15:0_17:0_22:3)","C57H104O6"
"TG(15:0_17:0_22:6)","C57H98O6"
"TG(15:0_18:0_22:1)","C58H110O6"
"TG(15:0_18:1_18:4)","C54H94O6"
"TG(15:0_18:2_22:6)","C58H96O6"
"TG(15:0_18:4_22:2)","C58H100O6"
"TG(15:0_18:4_24:6)","C60H96O6"
"TG(15:0_19:0_22:3)","C59H108O6"
"TG(15:0_20:4_22:5)","C60H98O6"
"TG(15:0_20:5_30:0)","C68H122O6"
"TG(15:0_22:0_24:1)","C64H122O6"
"TG(15:0_22:2_24:4)","C64H112O6"
"TG(15:0_24:0_24:0)","C66H128O6"
"TG(16:0_16:0_20:3)","C55H100O6"
"TG(16:0_16:0_26:0)","C61H118O6"
"TG(16:0_18:0_18:0)","C55H106O6"
"TG(16:0_18:3_22:5)","C59H98O6"
"TG(16:0_19:0_24:0)","C62H120O6"
"TG(16:0_20:5_30:0)","C69H124O6"
"TG(16:0_22:2_24:6)","C65H110O6"
"TG(16:0_22:4_26:0)","C67H122O6"
"TG(16:0_22:5_22:5)","C63H102O6"
"TG(16:0_22:5_24:5)","C65H106O6"
"TG(16:1_18:4_22:2)","C59H100O6"
"TG(16:1_20:1_28:0)","C67H126O6"
"TG(16:1_20:2_21:0)","C60H110O6"
"TG(16:1_22:1_28:0)","C69H130O6"
"TG(16:1_30:0_30:0)","C79H152O6"
"TG(16:2_18:0_26:0)","C63H118O6"
"TG(16:2_18:1_30:0)","C67H124O6"
"TG(16:2_18:4_20:0)","C57H98O6"
"TG(16:2_20:0_22:0)","C61H114O6"
"TG(16:2_20:4_20:5)","C59H92O6"
"TG(16:2_20:5_22:4)","C61H96O6"
"TG(16:2_20:5_26:1)","C65H110O6"
"TG(16:2_21:0_26:0)","C66H124O6"
"TG(16:2_22:4_24:4)","C65H106O6"
"TG(17:0_17:0_20:2)","C57H106O6"
"TG(17:0_18:0_26:1)","C64H122O6"
"TG(17:0_18:2_18:3)","C56H98O6"
"TG(17:0_20:4_24:1)","C64H114O6"
"TG(17:0_20:4_24:6)","C64H104O6"
"TG(17:0_22:0_22:3)","C64H118O6"
"TG(17:0_22:5_28:0)","C70H126O6"
"TG(18:0_18:3_22:4)","C61H104O6"
"TG(18:0_20:0_20:1)","C61H116O6"
"TG(18:0_20:1_24:4)","C65H116O6"
"TG(18:0_20:5_28:0)","C69H124O6"
"TG(18:0_22:3_24:0)","C67H124O6"
"TG(18:0_22:3_28:0)","C71H132O6"
"TG(18:1_18:1_24:6)","C63H106O6"
"TG(18:1_18:1_26:0)","C65H122O6"
"TG(18:1_18:3_19:0)","C58H104O6"
"TG(18:1_18:3_20:4)","C59H98O6"
"TG(18:1_20:1_20:1)","C61H112O6"
"TG(18:1_22:0_24:5)","C67H118O6"
"TG(18:1_22:0_30:0)","C73H140O6"
"TG(18:1_22:3_24:1)","C67H120O6"
"TG(18:1_22:4_24:4)","C67H112O6"
"TG(18:1_22:6_22:6)","C65H100O6"
"TG(18:1_22:6_24:5)","C67H106O6"
"TG(18:1_24:0_26:1)","C71H134O6"
"TG(18:1_24:1_24:6)","C69H118O6"
"TG(18:2_18:4_20:2)","C59H98O6"
"TG(18:2_21:0_30:0)","C72H136O6"
"TG(18:2_22:0_22:3)","C65H116O6"
"TG(18:2_22:2_22:5)","C65H108O6"
"TG(18:2_22:3_24:0)","C67H120O6"
"TG(18:2_22:6_24:5)","C67H104O6"
"TG(18:3_20:0_24:1)","C65H118O6"
"TG(18:3_20:1_20:1)","C61H108O6"
"TG(18:3_20:2_20:4)","C61H100O6"
"TG(18:3_20:4_24:4)","C65H104O6"
"TG(18:3_20:5_22:5)","C63H96O6"
"TG(18:3_20:5_30:0)","C71H122O6"
"TG(18:3_24:1_26:0)","C71H130O6"
"TG(18:3_24:4_24:5)","C69H110O6"
"TG(18:3_24:6_26:1)","C71H118O6"
"TG(18:4_20:0_24:6)","C65H106O6"
"TG(18:4_20:5_22:2)","C63H100O6"
"TG(18:4_20:5_30:0)","C71H120O6"
"TG(18:4_22:6_24:4)","C67H102O6"
"TG(18:4_24:1_24:1)","C69H122O6"
"TG(19:0_20:2_22:0)","C64H120O6"
"TG(19:0_20:2_26:1)","C68H126O6"
"TG(19:0_26:0_28:0)","C76H148O6"
"TG(20:0_20:0_30:0)","C73H142O6"
"TG(20:0_20:1_24:4)","C67H120O6"
"TG(20:0_20:2_24:0)","C67H126O6"
"TG(20:0_22:1_28:0)","C73H140O6"
"TG(20:0_22:5_28:0)","C73H132O6"
"TG(20:0_22:5_30:0)","C75H136O6"
"TG(20:0_22:6_26:1)","C71H124O6"
"TG(20:1_20:1_20:2)","C63H114O6"
"TG(20:1_20:4_26:0)","C69H124O6"
"TG(20:1_21:0_22:6)","C66H114O6"
"TG(20:1_22:0_22:3)","C67H122O6"
"TG(20:1_22:1_22:5)","C67H116O6"
"TG(20:1_24:4_26:0)","C73H132O6"
"TG(20:1_24:5_30:0)","C77H138O6"
"TG(20:2_20:2_24:4)","C67H114O6"
"TG(20:2_21:0_21:0)","C65H122O6"
"TG(20:2_21:0_22:5)","C66H114O6"
"TG(20:2_22:0_22:3)","C67H120O6"
"TG(20:2_22:0_26:0)","C71H134O6"
"TG(20:2_22:5_24:6)","C69H108O6"
"TG(20:2_24:1_24:1)","C71H130O6"
"TG(20:2_24:6_26:1)","C73H124O6"
"TG(20:2_26:1_30:0)","C79H148O6"
"TG(20:3_22:4_26:0)","C71H124O6"
"TG(20:3_22:4_30:0)","C75H132O6"
"TG(20:4_22:2_22:4)","C67H110O6"
"TG(20:5_20:5_22:1)","C65H104O6"
"TG(20:5_22:3_26:0)","C71H122O6"
"TG(20:5_24:1_26:0)","C73H130O6"
"TG(21:0_24:0_24:0)","C72H140O6"
"TG(21:0_24:6_26:0)","C74H132O6"
"TG(22:0_22:1_22:6)","C69H120O6"
"TG(22:1_22:3_24:5)","C71H120O6"
"TG(22:1_22:6_24:4)","C71H116O6"
"TG(22:1_26:0_26:1)","C77H146O6"
"TG(22:2_22:2_26:1)","C73H132O6"
"TG(22:2_24:1_26:1)","C75H138O6"
"TG(22:3_24:6_24:6)","C73H112O6"
"TG(22:5_24:4_26:0)","C75H128O6"
"TG(24:0_24:0_24:0)","C75H146O6"
"TG(24:0_24:0_26:1)","C77H148O6"
"TG(24:1_24:4_28:0)","C79H144O6"
"TG(24:1_24:6_28:0)","C79H140O6"
"TG(24:6_24:6_28:0)","C79H130O6"
"TG(26:0_30:0_30:0)","C89H174O6"
"DG(12:0/0:0/24:6)","C39H64O5"
"DG(13:0/20:4/0:0)","C36H62O5"
"DG(13:0/24:1/0:0)","C40H76O5"
"DG(14:0/0:0/30:0)","C47H92O5"
"DG(14:0/16:0/0:0)","C33H64O5"
"DG(15:0/0:0/24:6)","C42H70O5"
"DG(16:0/0:0/18:1)","C37H70O5"
"DG(16:0/22:6/0:0)","C41H68O5"
"DG(16:1/0:0/20:3)","C39H68O5"
"DG(16:1/18:0/0:0)","C37H70O5"
"DG(16:1/21:0/0:0)","C40H76O5"
"DG(16:2/0:0/20:1)","C39H70O5"
"DG(16:2/24:4/0:0)","C43H72O5"
"DG(17:0/0:0/17:0)","C37H72O5"
"DG(17:0/14:1/0:0)","C34H64O5"
"DG(17:0/28:0/0:0)","C48H94O5"
"DG(18:0/0:0/20:2)","C41H76O5"
"DG(18:2/22:6/0:0)","C43H68O5"
"DG(18:4/0:0/18:4)","C39H60O5"
"DG(18:4/24:1/0:0)","C45H78O5"
"DG(19:0/0:0/24:0)","C46H90O5"
"DG(19:0/24:0/0:0)","C46H90O5"
"DG(20:1/0:0/21:0)","C44H84O5"
"DG(20:2/0:0/28:0)","C51H96O5"
"DG(20:2/24:0/0:0)","C47H88O5"
"DG(20:2/30:0/0:0)","C53H100O5"
"DG(20:3/15:0/0:0)","C38H68O5"
"DG(20:4/0:0/30:0)","C53H96O5"
"DG(20:5/16:1/0:0)","C39H64O5"
"DG(20:5/22:2/0:0)","C45H74O5"
"DG(21:0/12:0/0:0)","C36H70O5"
"DG(21:0/22:6/0:0)","C46H78O5"
"DG(21:0/26:1/0:0)","C50H96O5"
"DG(22:1/0:0/22:1)","C47H88O5"
"DG(22:2/20:0/0:0)","C45H84O5"
"DG(22:3/0:0/28:0)","C53H98O5"
"DG(22:3/18:3/0:0)","C43H72O5"
"DG(22:4/21:0/0:0)","C46H82O5"
"DG(22:6/18:3/0:0)","C43H66O5"
"DG(22:6/20:3/0:0)","C45H70O5"
"DG(24:1/21:0/0:0)","C48H92O5"
"DG(24:4/22:0/0:0)","C49H88O5"
"MG(26:0/0:0/0:0)","C29H58O4"
"MG(P-17:0/0:0/0:0)","C20H40O3"
"MG(P-20:1/0:0/0:0)","C23H44O3"
"DG(P-13:0/19:0/0:0)","C35H68O4"
"DG(P-14:0/22:4/0:0)","C39H68O4"
"DG(P-16:0/12:0/0:0)","C31H60O4"
"DG(P-17:0/20:2/0:0)","C40H74O4"
"DG(P-18:0/20:0/0:0)","C41H80O4"
"DG(P-18:0/22:1/0:0)","C43H82O4"
"DG(P-18:0/30:0/0:0)","C51H100O4"
"DG(P-18:1/12:0/0:0)","C33H62O4"
"DG(P-20:0/13:0/0:0)","C36H70O4"
"DG(P-20:0/18:4/0:0)","C41H72O4"
"DG(P-20:0/22:1/0:0)","C45H86O4"
"DG(P-20:1/20:2/0:0)","C43H78O4"
"DG(P-22:1/22:4/0:0)","C47H82O4"
"DG(P-30:0/14:0/0:0)","C47H92O4"
"TG(O-13:0/12:0/22:1)","C50H96O5"
"TG(O-13:0/17:0/16:0)","C49H96O5"
"TG(O-13:0/18:0/24:6)","C58H102O5"
"TG(O-13:0/18:1/22:3)","C56H102O5"
"TG(O-13:0/18:1/24:4)","C58H104O5"
"TG(O-13:0/18:2/13:0)","C47H88O5"
"TG(O-13:0/18:2/16:1)","C50H92O5"
"TG(O-13:0/20:2/26:1)","C62H116O5"
"TG(O-13:0/20:5/22:3)","C58H98O5"
"TG(O-13:0/22:0/24:5)","C62H112O5"
"TG(O-13:0/22:2/20:3)","C58H104O5"
"TG(O-13:0/22:5/15:0)","C53H94O5"
"TG(O-13:0/22:5/18:4)","C56H92O5"
"TG(O-13:0/22:6/22:2)","C60H102O5"
"TG(O-13:0/24:1/12:0)","C52H100O5"
"TG(O-13:0/24:4/22:3)","C62H108O5"
"TG(O-13:0/24:4/24:6)","C64H106O5"
"TG(O-13:0/26:0/20:3)","C62H116O5"
"TG(O-13:0/28:0/24:6)","C68H122O5"
"TG(O-14:0/12:0/22:1)","C51H98O5"
"TG(O-14:0/12:0/24:4)","C53H96O5"
"TG(O-14:0/14:0/26:0)","C57H112O5"
"TG(O-14:0/14:1/28:0)","C59H114O5"
"TG(O-14:0/16:1/13:0)","C46H88O5"
"TG(O-14:0/16:1/26:0)","C59H114O5"
"TG(O-14:0/17:0/21:0)","C55H108O5"
"TG(O-14:0/17:0/24:4)","C58H106O5"
"TG(O-14:0/18:2/15:0)","C50H94O5"
"TG(O-14:0/18:2/16:2)","C51H92O5"
"TG(O-14:0/19:0/24:4)","C60H110O5"
"TG(O-14:0/20:0/20:1)","C57H110O5"
"TG(O-14:0/20:2/22:5)","C59H102O5"
"TG(O-14:0/20:3/14:0)","C51H94O5"
"TG(O-14:0/20:3/20:5)","C57H96O5"
"TG(O-14:0/20:4/18:1)","C55H98O5"
"TG(O-14:0/20:4/22:6)","C59H96O5"
"TG(O-14:0/22:0/18:4)","C57H104O5"
"TG(O-14:0/22:2/19:0)","C58H110O5"
"TG(O-14:0/22:3/24:4)","C63H110O5"
"TG(O-14:0/22:4/24:5)","C63H106O5"
"TG(O-14:0/22:6/28:0)","C67H120O5"
"TG(O-14:0/24:0/13:0)","C54H106O5"
"TG(O-14:0/24:0/20:5)","C61H110O5"
"TG(O-14:0/24:5/18:4)","C59H98O5"
"TG(O-14:0/24:5/22:1)","C63H112O5"
"TG(O-14:0/26:0/21:0)","C64H126O5"
"TG(O-14:0/30:0/20:4)","C67H124O5"
"TG(O-15:0/13:0/14:1)","C45H86O5"
"TG(O-15:0/13:0/16:2)","C47H88O5"
"TG(O-15:0/13:0/26:0)","C57H112O5"
"TG(O-15:0/14:0/20:1)","C52H100O5"
"TG(O-15:0/14:0/20:3)","C52H96O5"
"TG(O-15:0/18:1/20:0)","C56H108O5"
"TG(O-15:0/18:2/18:0)","C54H102O5"
"TG(O-15:0/20:0/16:1)","C54H104O5"
"TG(O-15:0/20:2/13:0)","C51H96O5"
"TG(O-15:0/20:2/22:0)","C60H114O5"
"TG(O-15:0/20:2/22:6)","C60H102O5"
"TG(O-15:0/20:5/22:2)","C60H104O5"
"TG(O-15:0/22:1/22:2)","C62H116O5"
"TG(O-15:0/22:1/24:0)","C64H124O5"
"TG(O-15:0/22:1/24:1)","C64H122O5"
"TG(O-15:0/22:3/22:2)","C62H112O5"
"TG(O-15:0/22:4/19:0)","C59H108O5"
"TG(O-15:0/22:5/26:1)","C66H118O5"
"TG(O-15:0/22:6/20:0)","C60H106O5"
"TG(O-15:0/22:6/22:0)","C62H110O5"
"TG(O-15:0/24:0/26:0)","C68H134O5"
"TG(O-15:0/24:1/22:3)","C64H118O5"
"TG(O-15:0/24:1/22:5)","C64H114O5"
"TG(O-15:0/24:4/18:2)","C60H106O5"
"TG(O-15:0/26:0/14:1)","C58H112O5"
"TG(O-16:0/12:0/20:1)","C51H98O5"
"TG(O-16:0/13:0/12:0)","C44H86O5"
"TG(O-16:0/14:0/16:2)","C49H92O5"
"TG(O-16:0/14:0/20:0)","C53H104O5"
"TG(O-16:0/16:0/20:4)","C55H100O5"
"TG(O-16:0/16:1/16:1)","C51H96O5"
"TG(O-16:0/16:1/22:2)","C57H106O5"
"TG(O-16:0/18:2/26:1)","C63H118O5"
"TG(O-16:0/18:4/16:0)","C53H96O5"
"TG(O-16:0/20:0/14:0)","C53H104O5"
"TG(O-16:0/20:0/16:1)","C55H106O5"
"TG(O-16:0/20:1/22:6)","C61H106O5"
"TG(O-16:0/20:1/24:6)","C63H110O5"
"TG(O-16:0/21:0/26:0)","C66H130O5"
"TG(O-16:0/22:0/22:4)","C63H116O5"
"TG(O-16:0/22:2/24:0)","C65H124O5"
"TG(O-16:0/22:3/17:0)","C58H108O5"
"TG(O-16:0/22:6/24:4)","C65H108O5"
"TG(O-16:0/24:1/15:0)","C58H112O5"
"TG(O-16:0/24:1/20:5)","C63H112O5"
"TG(O-16:0/26:0/20:4)","C65H120O5"
"TG(O-16:0/26:0/22:0)","C67H132O5"
"TG(O-16:0/26:1/19:0)","C64H124O5"
"TG(O-16:0/28:0/20:2)","C67H128O5"
"TG(O-16:0/30:0/18:3)","C67H126O5"
"TG(O-17:0/13:0/28:0)","C61H120O5"
"TG(O-17:0/14:0/13:0)","C47H92O5"
"TG(O-17:0/14:1/22:2)","C56H104O5"
"TG(O-17:0/15:0/20:2)","C55H104O5"
"TG(O-17:0/18:2/12:0)","C50H94O5"
"TG(O-17:0/18:2/20:3)","C58H104O5"
"TG(O-17:0/20:0/18:1)","C58H112O5"
"TG(O-17:0/20:0/18:2)","C58H110O5"
"TG(O-17:0/20:3/22:1)","C62H114O5"
"TG(O-17:0/20:3/26:0)","C66H124O5"
"TG(O-17:0/20:4/16:1)","C56H100O5"
"TG(O-17:0/22:0/22:6)","C64H114O5"
"TG(O-17:0/22:2/14:1)","C56H104O5"
"TG(O-17:0/22:2/18:0)","C60H114O5"
"TG(O-17:0/22:3/19:0)","C61H114O5"
"TG(O-17:0/22:4/21:0)","C63H116O5"
"TG(O-17:0/22:4/22:4)","C64H110O5"
"TG(O-17:0/22:6/18:3)","C60H100O5"
"TG(O-17:0/24:0/20:4)","C64H118O5"
"TG(O-17:0/24:0/21:0)","C65H128O5"
"TG(O-17:0/24:4/21:0)","C65H120O5"
"TG(O-17:0/26:1/18:3)","C64H118O5"
"TG(O-17:0/26:1/22:2)","C68H128O5"
"TG(O-17:0/30:0/20:0)","C70H138O5"
"TG(O-18:0/12:0/22:3)","C55H102O5"
"TG(O-18:0/13:0/24:0)","C58H114O5"
"TG(O-18:0/13:0/24:6)","C58H102O5"
"TG(O-18:0/13:0/26:0)","C60H118O5"
"TG(O-18:0/14:0/17:0)","C52H102O5"
"TG(O-18:0/14:1/14:1)","C49H92O5"
"TG(O-18:0/14:1/30:0)","C65H126O5"
"TG(O-18:0/16:0/22:4)","C59H108O5"
"TG(O-18:0/18:2/20:4)","C59H104O5"
"TG(O-18:0/18:3/14:0)","C53H98O5"
"TG(O-18:0/18:3/15:0)","C54H100O5"
"TG(O-18:0/18:3/22:5)","C61H104O5"
"TG(O-18:0/18:3/22:6)","C61H102O5"
"TG(O-18:0/18:3/24:5)","C63H108O5"
"TG(O-18:0/19:0/14:1)","C54H104O5"
"TG(O-18:0/20:2/16:1)","C57H106O5"
"TG(O-18:0/20:2/20:3)","C61H110O5"
"TG(O-18:0/20:4/22:0)","C63H116O5"
"TG(O-18:0/20:5/12:0)","C53H94O5"
